POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
4085,Stavanger,Huus,3000032,3000051
4154,Stavanger,Huus,3000032,3000051
,,,,
1706,Sarpsborg,Grimsøen,3000052,3000090
1707,Sarpsborg,Grimsøen,3000052,3000090
1708,Sarpsborg,Grimsøen,3000052,3000090
1709,Sarpsborg,Grimsøen,3000052,3000090
1710,Sarpsborg,Grimsøen,3000052,3000090
1711,Sarpsborg,Grimsøen,3000052,3000090
1712,Sarpsborg,Grimsøen,3000052,3000090
1714,Sarpsborg,Grimsøen,3000052,3000090
1715,Sarpsborg,Grimsøen,3000052,3000090
1718,Sarpsborg,Grimsøen,3000052,3000090
1719,Sarpsborg,Grimsøen,3000052,3000090
1721,Sarpsborg,Grimsøen,3000052,3000090
1722,Sarpsborg,Grimsøen,3000052,3000090
1723,Sarpsborg,Grimsøen,3000052,3000090
1724,Sarpsborg,Grimsøen,3000052,3000090
1725,Sarpsborg,Grimsøen,3000052,3000090
1726,Sarpsborg,Grimsøen,3000052,3000090
1727,Sarpsborg,Grimsøen,3000052,3000090
1730,Sarpsborg,Grimsøen,3000052,3000090
1746,Sarpsborg,Grimsøen,3000052,3000090
1747,Sarpsborg,Grimsøen,3000052,3000090
1890,Sarpsborg,Grimsøen,3000052,3000090
1892,Sarpsborg,Grimsøen,3000052,3000090
,,,,
3110,Tønsberg,Bakke P,3000021,3000028
3111,Tønsberg,Bakke P,3000021,3000028
3112,Tønsberg,Bakke P,3000021,3000028
3113,Tønsberg,Bakke P,3000021,3000028
3114,Tønsberg,Bakke P,3000021,3000028
3115,Tønsberg,Bakke P,3000021,3000028
3116,Tønsberg,Bakke P,3000021,3000028
3117,Tønsberg,Bakke P,3000021,3000028
3118,Tønsberg,Bakke P,3000021,3000028
3120,Tønsberg,Bakke P,3000021,3000028
3121,Tønsberg,Bakke P,3000021,3000028
3122,Tønsberg,Bakke P,3000021,3000028
3123,Tønsberg,Bakke P,3000021,3000028
